SU3_ADJOINT_SWAP_TABLE_V1
# Eq8 convention: B(g1,g2)[in] = sum_out W[out,in] B(g2,g1)[out]
# Irrep convention: SU(3) Dynkin labels p q; adjoint=(1,1)
# Vertex convention: isometric real CG maps; multiplicities are zero-based
# Self vertex mult=0: normalized action v tensor X -> rho(X)v (except 8x8)
# 8x8->8: mult=0 Jordan/symmetric, mult=1 Lie-bracket/antisymmetric
NC 3
ADJOINT_PQ 1 1
MAX_PREFIX_GLUONS 2
NBLOCKS 46
NPATHS 137
NVALUES 557
BEGIN_BLOCKS
# block left_p left_q right_p right_q size
0 0 0 0 0 1
1 0 0 0 3 1
2 0 0 1 1 2
3 0 0 2 2 1
4 0 0 3 0 1
5 1 1 0 0 2
6 1 1 0 3 4
7 1 1 1 1 8
8 1 1 1 4 2
9 1 1 2 2 6
10 1 1 3 0 4
11 1 1 3 3 1
12 1 1 4 1 2
13 0 3 0 0 1
14 0 3 0 3 4
15 0 3 0 6 1
16 0 3 1 1 4
17 0 3 1 4 4
18 0 3 2 2 5
19 0 3 2 5 1
20 0 3 3 0 2
21 0 3 3 3 2
22 0 3 4 1 1
23 2 2 0 0 1
24 2 2 0 3 5
25 2 2 0 6 1
26 2 2 1 1 6
27 2 2 1 4 6
28 2 2 2 2 10
29 2 2 2 5 2
30 2 2 3 0 5
31 2 2 3 3 6
32 2 2 4 1 6
33 2 2 4 4 1
34 2 2 5 2 2
35 2 2 6 0 1
36 3 0 0 0 1
37 3 0 0 3 2
38 3 0 1 1 4
39 3 0 1 4 1
40 3 0 2 2 5
41 3 0 3 0 4
42 3 0 3 3 2
43 3 0 4 1 4
44 3 0 5 2 1
45 3 0 6 0 1
END_BLOCKS
BEGIN_PATHS
# block path middle_p middle_q left_mult right_mult left_parity right_parity
0 0 1 1 0 0 0 1
1 0 1 1 0 0 0 -1
2 0 1 1 0 0 0 1
2 1 1 1 0 1 0 -1
3 0 1 1 0 0 0 1
4 0 1 1 0 0 0 -1
5 0 1 1 0 0 1 1
5 1 1 1 1 0 -1 1
6 0 0 3 0 0 -1 0
6 1 1 1 0 0 1 -1
6 2 1 1 1 0 -1 -1
6 3 2 2 0 0 1 0
7 0 0 0 0 0 1 0
7 1 0 3 0 0 -1 0
7 2 1 1 0 0 1 1
7 3 1 1 0 1 1 -1
7 4 1 1 1 0 -1 1
7 5 1 1 1 1 -1 -1
7 6 2 2 0 0 1 0
7 7 3 0 0 0 -1 0
8 0 0 3 0 0 -1 0
8 1 2 2 0 0 1 0
9 0 0 3 0 0 -1 0
9 1 1 1 0 0 1 1
9 2 1 1 1 0 -1 1
9 3 2 2 0 0 1 0
9 4 2 2 0 1 1 0
9 5 3 0 0 0 -1 0
10 0 1 1 0 0 1 -1
10 1 1 1 1 0 -1 -1
10 2 2 2 0 0 1 0
10 3 3 0 0 0 -1 0
11 0 2 2 0 0 1 0
12 0 2 2 0 0 1 0
12 1 3 0 0 0 -1 0
13 0 1 1 0 0 0 1
14 0 0 3 0 0 0 0
14 1 1 1 0 0 0 -1
14 2 1 4 0 0 0 0
14 3 2 2 0 0 0 0
15 0 1 4 0 0 0 0
16 0 0 3 0 0 0 0
16 1 1 1 0 0 0 1
16 2 1 1 0 1 0 -1
16 3 2 2 0 0 0 0
17 0 0 3 0 0 0 0
17 1 1 4 0 0 0 0
17 2 1 4 0 1 0 0
17 3 2 2 0 0 0 0
18 0 0 3 0 0 0 0
18 1 1 1 0 0 0 1
18 2 1 4 0 0 0 0
18 3 2 2 0 0 0 0
18 4 2 2 0 1 0 0
19 0 1 4 0 0 0 0
20 0 1 1 0 0 0 -1
20 1 2 2 0 0 0 0
21 0 1 4 0 0 0 0
21 1 2 2 0 0 0 0
22 0 2 2 0 0 0 0
23 0 1 1 0 0 0 1
24 0 0 3 0 0 0 0
24 1 1 1 0 0 0 -1
24 2 1 4 0 0 0 0
24 3 2 2 0 0 0 0
24 4 2 2 1 0 0 0
25 0 1 4 0 0 0 0
26 0 0 3 0 0 0 0
26 1 1 1 0 0 0 1
26 2 1 1 0 1 0 -1
26 3 2 2 0 0 0 0
26 4 2 2 1 0 0 0
26 5 3 0 0 0 0 0
27 0 0 3 0 0 0 0
27 1 1 4 0 0 0 0
27 2 1 4 0 1 0 0
27 3 2 2 0 0 0 0
27 4 2 2 1 0 0 0
27 5 3 3 0 0 0 0
28 0 0 3 0 0 0 0
28 1 1 1 0 0 0 1
28 2 1 4 0 0 0 0
28 3 2 2 0 0 0 0
28 4 2 2 0 1 0 0
28 5 2 2 1 0 0 0
28 6 2 2 1 1 0 0
28 7 3 0 0 0 0 0
28 8 3 3 0 0 0 0
28 9 4 1 0 0 0 0
29 0 1 4 0 0 0 0
29 1 3 3 0 0 0 0
30 0 1 1 0 0 0 -1
30 1 2 2 0 0 0 0
30 2 2 2 1 0 0 0
30 3 3 0 0 0 0 0
30 4 4 1 0 0 0 0
31 0 1 4 0 0 0 0
31 1 2 2 0 0 0 0
31 2 2 2 1 0 0 0
31 3 3 3 0 0 0 0
31 4 3 3 0 1 0 0
31 5 4 1 0 0 0 0
32 0 2 2 0 0 0 0
32 1 2 2 1 0 0 0
32 2 3 0 0 0 0 0
32 3 3 3 0 0 0 0
32 4 4 1 0 0 0 0
32 5 4 1 0 1 0 0
33 0 3 3 0 0 0 0
34 0 3 3 0 0 0 0
34 1 4 1 0 0 0 0
35 0 4 1 0 0 0 0
36 0 1 1 0 0 0 1
37 0 1 1 0 0 0 -1
37 1 2 2 0 0 0 0
38 0 1 1 0 0 0 1
38 1 1 1 0 1 0 -1
38 2 2 2 0 0 0 0
38 3 3 0 0 0 0 0
39 0 2 2 0 0 0 0
40 0 1 1 0 0 0 1
40 1 2 2 0 0 0 0
40 2 2 2 0 1 0 0
40 3 3 0 0 0 0 0
40 4 4 1 0 0 0 0
41 0 1 1 0 0 0 -1
41 1 2 2 0 0 0 0
41 2 3 0 0 0 0 0
41 3 4 1 0 0 0 0
42 0 2 2 0 0 0 0
42 1 4 1 0 0 0 0
43 0 2 2 0 0 0 0
43 1 3 0 0 0 0 0
43 2 4 1 0 0 0 0
43 3 4 1 0 1 0 0
44 0 4 1 0 0 0 0
45 0 4 1 0 0 0 0
END_PATHS
BEGIN_VALUES
# block out_path in_path coefficient
0 0 0 1.00000000000000000e+00
1 0 0 -1.00000000000000000e+00
2 0 0 1.00000000000000000e+00
2 1 1 -1.00000000000000000e+00
3 0 0 1.00000000000000000e+00
4 0 0 -1.00000000000000000e+00
5 0 0 1.00000000000000000e+00
5 1 1 -1.00000000000000000e+00
6 0 0 -4.99999999999999889e-01
6 0 1 -3.16227766016837941e-01
6 0 2 -7.07106781186547573e-01
6 0 3 -3.87298334620741758e-01
6 1 0 -3.16227766016837886e-01
6 1 1 4.00000000000000078e-01
6 1 2 4.47213595499958039e-01
6 1 3 -7.34846922834953342e-01
6 2 0 -7.07106781186547684e-01
6 2 1 4.47213595499958039e-01
6 2 3 5.47722557505166185e-01
6 3 0 -3.87298334620741702e-01
6 3 1 -7.34846922834953231e-01
6 3 2 5.47722557505166296e-01
6 3 3 1.00000000000000006e-01
7 0 0 1.25000000000000028e-01
7 0 1 3.95284707521047385e-01
7 0 2 3.53553390593273731e-01
7 0 5 -3.53553390593273953e-01
7 0 6 6.49519052838329114e-01
7 0 7 3.95284707521047385e-01
7 1 0 3.95284707521047496e-01
7 1 1 2.49999999999999972e-01
7 1 2 -4.47213595499957928e-01
7 1 3 -5.00000000000000111e-01
7 1 4 -5.00000000000000111e-01
7 1 6 -1.36930639376291546e-01
7 1 7 2.49999999999999972e-01
7 2 0 3.53553390593273842e-01
7 2 1 -4.47213595499957872e-01
7 2 2 -2.99999999999999989e-01
7 2 5 -5.00000000000000111e-01
7 2 6 3.67423461417476727e-01
7 2 7 -4.47213595499957872e-01
7 3 1 -5.00000000000000111e-01
7 3 3 -5.00000000000000222e-01
7 3 4 5.00000000000000111e-01
7 3 7 5.00000000000000000e-01
7 4 1 -5.00000000000000111e-01
7 4 3 5.00000000000000222e-01
7 4 4 -5.00000000000000111e-01
7 4 7 5.00000000000000111e-01
7 5 0 -3.53553390593273953e-01
7 5 2 -5.00000000000000222e-01
7 5 5 5.00000000000000333e-01
7 5 6 6.12372435695794692e-01
7 6 0 6.49519052838329003e-01
7 6 1 -1.36930639376291546e-01
7 6 2 3.67423461417476727e-01
7 6 5 6.12372435695794803e-01
7 6 6 1.74999999999999989e-01
7 6 7 -1.36930639376291546e-01
7 7 0 3.95284707521047496e-01
7 7 1 2.50000000000000000e-01
7 7 2 -4.47213595499957983e-01
7 7 3 5.00000000000000000e-01
7 7 4 5.00000000000000111e-01
7 7 6 -1.36930639376291546e-01
7 7 7 2.50000000000000000e-01
8 0 0 5.00000000000000000e-01
8 0 1 8.66025403784438819e-01
8 1 0 8.66025403784438930e-01
8 1 1 -5.00000000000000111e-01
9 0 0 -1.66666666666666713e-01
9 0 1 4.47213595499957983e-01
9 0 2 -3.33333333333333259e-01
9 0 3 2.04124145231931425e-01
9 0 4 -4.18330013267037837e-01
9 0 5 6.66666666666666408e-01
9 1 0 4.47213595499958039e-01
9 1 1 2.00000000000000039e-01
9 1 4 7.48331477354788221e-01
9 1 5 4.47213595499958039e-01
9 2 0 -3.33333333333333204e-01
9 2 2 3.33333333333333426e-01
9 2 3 -8.16496580927726257e-01
9 2 5 3.33333333333333259e-01
9 3 0 2.04124145231931564e-01
